h3index,geometry,ID_HDC_G0,UC_NM_MN,CTR_MN_ISO,CTR_MN_NM,GRGN_L1,GRGN_L2,neighborhood_id
863ce6147ffffff,"POLYGON ((89.63701784222286 25.80950182697125, 89.60447818055563 25.82712881776681, 89.60509177285283 25.836825578910915, 89.60568026985376 25.83807820827544, 89.61632856760964 25.8380782253075, 89.62424346464807 25.854915836992955, 89.63489628806246 25.854915789840387, 89.63093662796288 25.846497037074617, 89.65223776473688 25.846496969179945, 89.64827805905679 25.83807823274555, 89.6589263712486 25.83807821300956, 89.65497114560156 25.82965949294247, 89.66561950599697 25.82965943012328, 89.6616642380932 25.82124062590201, 89.66208314113672 25.8212406288412, 89.63701784222286 25.80950182697125))",9721,Kurigram,BGD,Bangladesh,Asia,South-Central Asia,863ce6147ffffff_9721
863ce6177ffffff,"POLYGON ((89.60447818055563 25.82712881776681, 89.59942240786093 25.824758205490596, 89.60509177285283 25.836825578910915, 89.60447818055563 25.82712881776681))",9721,Kurigram,BGD,Bangladesh,Asia,South-Central Asia,863ce6177ffffff_9721
863ce6d5fffffff,"MULTIPOLYGON (((89.16683528480878 25.818411461066823, 89.1715397002792 25.820633308934767, 89.16789460975312 25.81282188632351, 89.16649071768931 25.812821887150186, 89.16683528480878 25.818411461066823)), ((89.19065122487783 25.82965948879698, 89.20770550209929 25.829659478596373, 89.20377256176799 25.82124069012257, 89.19312425293587 25.82124067815701, 89.17282564638698 25.821240648281353, 89.19065122487783 25.82965948879698)))",9646,Paglapeer,BGD,Bangladesh,Asia,South-Central Asia,863ce6d5fffffff_9646
863ce6d57ffffff,"POLYGON ((89.16683528480878 25.818411461066823, 89.16649071768931 25.812821887150186, 89.15724627044118 25.81282189259375, 89.14938492029698 25.79598427230243, 89.1387366110247 25.79598431667022, 89.14266501313006 25.804403064800685, 89.13201669340138 25.804403144616, 89.1359496700875 25.81282192436716, 89.1253012695284 25.812821858754212, 89.12922980230272 25.821240706435976, 89.11858146639538 25.821240676207665, 89.12251435615153 25.829659463351963, 89.13316268409979 25.829659404126037, 89.13573151832813 25.83515821355581, 89.16683528480878 25.818411461066823))",9646,Paglapeer,BGD,Bangladesh,Asia,South-Central Asia,863ce6d57ffffff_9646
863ce6d47ffffff,"POLYGON ((89.16683528480878 25.818411461066823, 89.13573151832813 25.83515821355581, 89.13709562299377 25.838078196291914, 89.14774843233155 25.838078199624665, 89.15839678493857 25.838078212344808, 89.1623341200079 25.84649703335559, 89.17298243573009 25.84649699096409, 89.16904511386599 25.838078260656204, 89.19034619163865 25.838078218228773, 89.18640880860826 25.829659491334482, 89.19065122487783 25.82965948879698, 89.17282564638698 25.821240648281353, 89.17182310595702 25.821240646805805, 89.1715397002792 25.820633308934767, 89.16683528480878 25.818411461066823))",9646,Paglapeer,BGD,Bangladesh,Asia,South-Central Asia,863ce6d47ffffff_9646
863ce6cefffffff,"POLYGON ((89.2856428389657 25.67715022200531, 89.2743779522166 25.652909614068705, 89.26373856384392 25.652909568290557, 89.2715508845238 25.669738226943686, 89.26994554661731 25.669738225727862, 89.2856428389657 25.67715022200531))",9657,Rangpur,BGD,Bangladesh,Asia,South-Central Asia,863ce6cefffffff_9657
863ce6c57ffffff,"POLYGON ((89.22766767103893 25.715597108026316, 89.26227026366986 25.731937092582083, 89.2947780448197 25.714375148013456, 89.29352063285614 25.694102235581358, 89.2856428389657 25.67715022200531, 89.26994554661731 25.669738225727862, 89.260911475948 25.669738218885797, 89.26482212207922 25.678157015678, 89.23289938317092 25.678157029251544, 89.23681005573056 25.686571319393597, 89.22587441124668 25.686571345305943, 89.22766767103893 25.715597108026316))",9657,Rangpur,BGD,Bangladesh,Asia,South-Central Asia,863ce6c57ffffff_9657
863ce6c0fffffff,"POLYGON ((89.19516415019417 25.733141583255957, 89.22766767103893 25.715597108026316, 89.22587441124668 25.686571345305943, 89.21552676268712 25.686571369825014, 89.21943737140352 25.6949856691209, 89.19815409869793 25.69498569622307, 89.20597981485771 25.711814349216812, 89.1953359340013 25.711814361182373, 89.2031661142311 25.72864741652288, 89.19252222143606 25.72864746407969, 89.1944594737186 25.732808422412326, 89.19516415019417 25.733141583255957))",9657,Rangpur,BGD,Bangladesh,Asia,South-Central Asia,863ce6c0fffffff_9657
863ce6c47ffffff,"POLYGON ((89.33150121541229 25.764591221136264, 89.32939331817798 25.73070152156459, 89.2947780448197 25.714375148013456, 89.26227026366986 25.731937092582083, 89.2643696953628 25.765822949911655, 89.2989853741904 25.78215070920416, 89.33150121541229 25.764591221136264))",9657,Rangpur,BGD,Bangladesh,Asia,South-Central Asia,863ce6c47ffffff_9657
863ce6c77ffffff,"POLYGON ((89.19725511479048 25.767023562794737, 89.23185806775354 25.78336494917647, 89.2643696953628 25.765822949911655, 89.26227026366986 25.731937092582083, 89.22766767103893 25.715597108026316, 89.19516415019417 25.733141583255957, 89.19524812707152 25.734502344143664, 89.19644180195958 25.737066197864056, 89.19540635060005 25.737066197384287, 89.19725511479048 25.767023562794737))",9657,Rangpur,BGD,Bangladesh,Asia,South-Central Asia,863ce6c77ffffff_9657
